datetime,max_temp,min_temp,temp,precip,humidity,wind_gust,wind_speed,wind_dir,visibility,cloud_cover
2019-07-31,68.15,54.6,61.24,0.09,83.24,25.12,13.2,188.57,12.42,62.58
2019-08-31,66.75,53.89,59.91,0.17,83.57,27.2,15.54,169.52,11.73,56.35
2019-09-30,61.35,48.85,54.94,0.1,83.8,26.74,14.17,199.82,12.13,60.07
2019-10-31,52.91,41.29,47.24,0.11,84.8,27.49,13.69,176.71,13.2,55.59
2019-11-30,44.86,35.65,40.25,0.11,90.94,21.77,9.95,135.98,10.93,63.07
2019-12-31,46.14,37.74,41.99,0.08,88.33,32.29,17.6,218.18,12.99,58.49
2020-01-31,47.3,39.45,43.65,0.09,84.96,37.15,21.0,234.96,12.6,60.67
2020-02-29,45.51,35.08,40.28,0.21,85.07,40.18,22.32,218.78,10.96,57.37
2020-03-31,48.34,36.23,42.29,0.07,80.27,31.75,18.45,195.67,12.1,61.14
2020-04-30,54.57,38.8,46.98,0.01,74.67,27.73,15.96,132.07,12.41,63.47
2020-05-31,61.14,43.17,52.85,0.03,70.95,27.41,15.51,193.48,12.86,57.53
2020-06-30,62.88,50.65,56.22,0.08,82.39,25.97,14.47,116.99,11.16,72.33
2020-07-31,63.67,51.02,57.24,0.09,79.46,26.53,14.52,222.11,14.5,68.71
2020-08-31,63.64,53.14,58.39,0.18,84.84,25.53,13.75,150.18,12.33,74.13
2020-09-30,60.69,46.81,53.78,0.05,82.18,28.03,14.6,211.04,13.64,63.54
2020-10-31,53.97,44.2,49.11,0.14,85.64,27.47,14.17,190.07,13.7,71.3
2020-11-30,50.9,41.88,46.38,0.07,87.56,30.06,16.75,218.06,14.14,71.57
2020-12-31,44.44,35.65,40.37,0.15,87.91,27.77,14.01,198.77,15.45,71.14
2021-01-31,39.06,30.26,34.82,0.13,90.37,23.14,11.63,169.86,13.71,69.54
2021-02-28,44.09,34.78,39.73,0.1,79.96,34.34,18.35,151.45,12.89,73.48
2021-03-31,50.39,38.18,44.33,0.06,81.12,29.53,17.14,210.42,14.84,74.03
2021-04-30,51.75,32.29,42.51,0.01,71.04,23.14,13.38,179.2,16.54,57.2
2021-05-31,54.97,41.05,47.9,0.12,80.35,26.85,12.36,163.88,15.23,74.16
2021-06-30,64.57,50.21,57.48,0.03,76.41,24.98,14.05,159.18,15.54,69.97
2021-07-31,68.7,54.68,61.45,0.08,82.61,19.57,10.75,137.92,10.44,69.52
2021-08-31,66.11,52.35,58.85,0.12,82.35,20.05,11.12,166.53,10.24,71.2
2021-09-30,64.15,50.61,57.63,0.05,84.52,23.93,12.52,188.24,9.73,71.18
2021-10-31,56.2,46.0,51.61,0.15,85.51,29.38,15.38,221.63,11.45,64.93
2021-11-30,50.66,39.57,45.54,0.02,82.87,26.91,16.16,255.53,16.26,60.69
2021-12-31,44.86,36.22,40.94,0.1,87.82,22.89,13.94,192.2,13.19,73.35
2022-01-31,46.46,38.3,42.58,0.04,81.96,32.22,19.74,240.71,22.77,65.19
2022-02-28,46.76,37.06,42.09,0.17,80.91,36.76,22.7,239.22,22.98,68.95
2022-03-31,52.26,35.95,43.8,0.03,78.16,19.82,12.49,167.44,18.38,48.66
2022-04-30,53.66,39.17,46.51,0.04,76.85,21.73,14.38,160.65,23.37,70.14
2022-05-31,59.51,47.35,53.15,0.06,76.79,25.97,16.23,197.83,21.81,78.38
2022-06-30,63.8,49.79,57.0,0.05,73.88,23.24,14.75,182.36,20.72,71.97
2022-07-31,69.66,54.04,61.77,0.04,72.41,22.35,14.28,217.94,15.73,62.15
